date,open,high,low,close,volume
18-05-12,42.05,45,38,38.2318,573576400
21-05-12,36.53,36.66,33,34.03,168192700
22-05-12,32.61,33.59,30.94,31,101786600
23-05-12,31.37,32.5,31.36,32,73600000
24-05-12,32.95,33.21,31.77,33.03,50237200
25-05-12,32.9,32.95,31.11,31.91,37149800
29-05-12,31.48,31.69,28.65,28.84,78063400
30-05-12,28.695,29.55,27.86,28.19,57267900
31-05-12,28.545,29.67,26.83,29.6,111639200
01-06-12,28.892,29.15,27.39,27.72,41855500
04-06-12,27.2,27.65,26.44,26.9,35230300
05-06-12,26.7,27.76,25.75,25.869,42473400
06-06-12,26.07,27.17,25.52,26.81,61489200
07-06-12,27,27.35,26.15,26.31,26159500
08-06-12,26.55,27.76,26.44,27.1,38034000
11-06-12,27.18,28.07,26.835,27.005,28219600
12-06-12,27.48,27.77,26.96,27.4,15816800
13-06-12,27.66,28.1,27.1,27.27,17102800
14-06-12,27.65,28.32,27.38,28.29,16855000
15-06-12,28.505,30.1,28.35,30.014,43563800
18-06-12,29.955,32.08,29.41,31.41,42978900
19-06-12,31.535,32.18,30.7,31.911,30849000
20-06-12,31.92,31.9288,31.15,31.6,15553600
21-06-12,31.67,32.5,31.51,31.84,21875300
22-06-12,32.41,33.45,32.06,33.05,74834000
25-06-12,32.86,33.02,31.55,32.06,24352900
26-06-12,32.69,33.44,32.5,33.1,24858700
27-06-12,32.46,32.9,31.9,32.23,28568000
28-06-12,31.96,32.19,30.9,31.36,17713300
29-06-12,31.92,31.99,30.76,31.095,19526900
02-07-12,31.25,31.73,30.55,30.771,14122000
03-07-12,30.91,31.44,30.8,31.2,8763600
05-07-12,31.32,31.625,31.02,31.47,10032100
06-07-12,31.44,31.9,31.26,31.73,10945600
09-07-12,32.1,32.88,31.99,32.17,17785200
10-07-12,32.43,32.48,31.1599,31.47,14269500
11-07-12,31.48,31.56,30.55,30.97,13030300
12-07-12,30.7,31.4,30.6,30.81,11300700
13-07-12,31.04,31.07,30.56,30.72,8108300
16-07-12,30.5,30.5,28.21,28.245,24672100
17-07-12,28.48,28.59,27.15,28.09,30438600
18-07-12,28.31,29.29,28.15,29.11,16841800
19-07-12,29.41,29.5,28.63,29,13685100
20-07-12,29,29.47,28.72,28.76,11869100
23-07-12,28.12,29,28.01,28.75,12390700
24-07-12,28.82,29.45,28.1,28.45,11539800
25-07-12,28.39,29.49,28.08,29.34,17230200
26-07-12,27.75,28.23,26.73,26.845,64597400
27-07-12,23.19,24.54,22.28,23.705,123102300
30-07-12,23.995,24.04,23.03,23.15,29285900
31-07-12,23.37,23.37,21.61,21.71,56179400
01-08-12,21.5,21.58,20.84,20.88,44604400
02-08-12,20.77,20.84,19.82,20.04,56374500
03-08-12,20.36,22.16,19.9,21.09,80647000
06-08-12,21.39,22.15,21.3,21.92,27778900
07-08-12,22.2,22.45,20.5,20.72,36782900
08-08-12,20.71,21.15,20.22,20.72,29537400
09-08-12,20.75,21.17,20.61,21.01,15610700
10-08-12,21.41,21.82,21.13,21.807,25794700
13-08-12,22.15,22.45,21.4,21.6,24973100
14-08-12,21.41,21.6,20.25,20.38,39308800
15-08-12,20.64,21.41,20.4,21.2,47861100
16-08-12,20.44,20.48,19.69,19.87,157565300
17-08-12,20.005,20.08,19,19.05,129293400
20-08-12,19.05,20.13,18.75,20.011,101186600
21-08-12,19.58,19.98,19.09,19.159,70640600
22-08-12,19.36,19.53,18.96,19.439,49892200
23-08-12,19.5,19.73,19.36,19.44,32813700
24-08-12,19.52,19.68,19.25,19.409,29622200
27-08-12,19.49,19.53,19.1,19.15,20704000
28-08-12,19.1,19.38,18.95,19.34,25417000
29-08-12,19.32,19.38,19.07,19.1,16124700
30-08-12,19.27,19.45,19.06,19.0885,30647500
31-08-12,18.68,18.7,18.03,18.058,58764200
04-09-12,18.08,18.27,17.55,17.729,46622400
05-09-12,18.27,18.75,18.18,18.58,60781800
06-09-12,18.74,19.2617,18.72,18.96,46066500
07-09-12,19.1,19.42,18.78,18.98,36371700
10-09-12,19.06,19.2,18.55,18.81,24797800
11-09-12,18.92,19.581,18.85,19.43,50508200
12-09-12,20.76,21.16,20.28,20.931,121584000
13-09-12,20.955,21.48,20.61,20.713,65041600
14-09-12,21.13,22.08,20.9,22,72819800
17-09-12,22.67,22.75,21.5,21.52,50667600
18-09-12,21.6,21.98,21.37,21.87,36760500
19-09-12,21.99,23.37,21.77,23.29,78782800
20-09-12,23.02,23.24,22.54,22.59,57248900
21-09-12,22.97,23.24,22.6,22.86,51218100
24-09-12,21.78,21.98,20.3625,20.79,79106500
25-09-12,21.2,21.21,20.22,20.28,46291700
26-09-12,20.145,20.78,19.8,20.62,38271900
27-09-12,20.99,21,20.16,20.32,30215900
28-09-12,20.57,21.95,20.5,21.66,65486000
01-10-12,22.08,22.59,21.73,21.99,51262700
02-10-12,22.08,22.49,21.82,22.27,29341400
03-10-12,22.295,22.49,21.8,21.83,32000100
04-10-12,22.32,22.4,21.41,21.9475,46892100
05-10-12,21.49,21.63,20.88,20.91,40529300
08-10-12,20.4,20.75,20.155,20.4,32236700
09-10-12,20.39,20.55,19.97,20.227,27161800
10-10-12,19.93,19.94,19.45,19.64,39321800
11-10-12,19.88,19.96,19.61,19.75,21817300
12-10-12,19.75,19.8,19.48,19.5181,18809400
15-10-12,19.68,19.88,19.49,19.52,20189700
16-10-12,19.68,19.69,19.3,19.48,21834700
17-10-12,19.5,20.48,19.3718,19.88,44074500
18-10-12,19.7,19.79,18.89,18.975,52157400
19-10-12,19,19.06,18.8,19,34835000
22-10-12,19.25,19.43,19.05,19.321,32447300
23-10-12,19.25,19.8,19.1,19.5,78381200
24-10-12,24.13,24.25,22.85,23.2299,228949900
25-10-12,23.29,23.31,22.47,22.56,76142000
26-10-12,22.4,22.88,21.88,21.9425,73175800
31-10-12,20.82,21.5,20.73,21.11,99378200
01-11-12,21.08,21.44,21.01,21.21,37713900
02-11-12,21.26,21.69,21.07,21.18,38344400
05-11-12,21.1,21.48,20.92,21.25,31806700
06-11-12,21.24,21.37,20.99,21.1712,29062700
07-11-12,20.85,20.95,20.37,20.47,33396800
08-11-12,20.52,20.73,19.98,19.99,34254600
09-11-12,19.955,20,19.13,19.21,42295500
12-11-12,19.15,20.17,18.87,20.07,67349200
13-11-12,19.605,20.11,19.56,19.86,71775100
14-11-12,20.1,22.5,19.93,22.36,229751000
15-11-12,22.34,22.5,21.65,22.17,78857700
16-11-12,22.25,23.93,22.18,23.5607,107182200
19-11-12,23.955,24.12,22.82,22.92,85021300
20-11-12,22.73,23.9,22.7,23.1,46655300
21-11-12,23.22,24.53,23.05,24.32,89862400
23-11-12,24.58,24.68,23.88,23.998,29520900
26-11-12,24.935,26.09,24.81,25.94,123865000
27-11-12,26.04,26.5,25.46,26.15,85760600
28-11-12,25.94,26.49,25.75,26.36,49205600
29-11-12,26.5,27.52,26.16,27.32,88759700
30-11-12,27.26,28,26.76,28,127049600
03-12-12,27.9999,28.88,26.98,27.04,123526100
04-12-12,27.06,27.76,26.68,27.46,72869200
05-12-12,27.75,27.9,27.26,27.71,58976300
06-12-12,27.68,27.75,26.82,26.97,46001500
07-12-12,27.07,27.78,26.84,27.485,51751900
10-12-12,27.17,28.17,27.1,27.84,50608500
11-12-12,28.07,28.24,27.66,27.98,77099100
12-12-12,28,28.14,27.37,27.5801,46704200
13-12-12,27.59,28.75,27.43,28.24,81051600
14-12-12,28.18,28.33,26.76,26.812,91631600
17-12-12,26.77,27,26.32,26.75,57742500
18-12-12,26.96,27.91,26.9,27.71,60512900
19-12-12,27.83,28.22,26.95,27.41,61390300
20-12-12,27.49,27.6,27.13,27.36,35574800
